 Dispositifs supplémentaires d’accompagnement de la fin de vie,Dispositifs supplémentaires augmentant la durée de vie,Lieu de fabrication,Matière,Numéro,Poids,Produits,"Transport d'approvisionnement",Transport de distribution,_id
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe,"  Bois de frêne FSC, Fer",63bb32ae761f2261fe5272c1,14,"Table de chevet Norm en bois durable Long. 39 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272c2
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe,  Bois de frêne FSC,63bb32ae761f2261fe5272c3,26,"Grande étagère Norm en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272c4
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe,  Bois de frêne FSC,63bb32ae761f2261fe5272c5,"28,6","Commode Norm en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272c6
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de frêne FSC ,63bb32ae761f2261fe5272c7,15,"Petite étagère Norm en bois durable Long. 120 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272c8
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe5272c9,30,"Bureau Tripple à 3 tiroirs en bois durable Long. 120 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ca
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe5272cb,40,"Console motif chevron à tiroirs en bois durable Long. 150 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272cc
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de chêne FSC,63bb32ae761f2261fe5272cd,52,"Table à manger 8 personnes motif chevron en bois durable Long. 200 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ce
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de chêne FSC,63bb32ae761f2261fe5272cf,105,"Grande armoire motif chevron en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272d0
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de chêne FSC,63bb32ae761f2261fe5272d1,12,"Table de chevet motif chevron en bois durable Long. 40 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272d2
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de chêne FSC,63bb32ae761f2261fe5272d3,19,"Étagère Mason double basse en bois durable Long. 150 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272d4
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de chêne FSC,63bb32ae761f2261fe5272d5,49,"Étagère Mason double haute en bois durable Long. 150 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272d6
